Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Document Type,Publication Stage,Open Access,Source,EID
"Sen Gupta A.","57242726600;","Marine heatwaves: definition duel heats up",2023,"Nature","617","7961",,"465","",,,"10.1038/d41586-023-01619-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159481575&doi=10.1038%2fd41586-023-01619-4&partnerID=40&md5=6eaa2d855d961c105e4d4c512fd8b7b0",[No abstract available],Note,"Final","",Scopus,2-s2.0-85159481575
"Dutta D., Sherwood S.C., Jucker M., Gupta A.S., Meissner K.J.","57214155314;56014511300;14058428800;8874929700;58012660800;","Can Polar Stratospheric Clouds Explain Arctic Amplification?",2023,"Journal of Climate","36","8",,"2313","2332",,,"10.1175/JCLI-D-22-0497.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152195995&doi=10.1175%2fJCLI-D-22-0497.1&partnerID=40&md5=cf6c32e524c96ee83c2639d16858bf0d","Climate models underestimate the magnitude of Arctic warming in past warm climates, like the early Cretaceous and Paleogene periods, implying that certain physical processes might be missing or poorly represented. Previous studies suggest that a large increase in wintertime Arctic polar stratospheric clouds (PSCs) might have promoted Arctic amplification through additional greenhouse warming. High methane concentrations in warm climates might have increased stratospheric water vapor providing favorable conditions for PSCs. However, methane concentrations in past warm climates are extremely uncertain. Here, we revisit the PSC hypothesis by exploring PSC changes under very high methane levels, 43 preindustrial carbon dioxide, and strong polar-amplified surface warming, using a whole-atmosphere model with fully interactive chemistry. We find that with polar-amplified warming there is a large increase in Arctic outgoing longwave radiation (OLR) that reduces as the methane concentration is increased. PSCs increase monotonically with methane concentration. A large radiative cooling and an increase in water vapor in the stratosphere increases Arctic PSCs, which follow a power law with respect to relative humidity. Using a two-way partial radiative perturbation technique, we show that the OLR reduction due to PSCs is similar to the direct radiative forcing of methane for high methane levels. Thus, we find that PSCs could play an important role in Arctic warming in a warmer-than-present-day climate, but only if methane levels were higher than suggested by previous modeling studies for past warm climates. © 2023 American Meteorological Society.",Article,"Final","",Scopus,2-s2.0-85152195995
"Smith K.E., Burrows M.T., Hobday A.J., King N.G., Moore P.J., Sen Gupta A., Thomsen M.S., Wernberg T., Smale D.A.","55574237272;7103139661;6701910294;57072599200;12788438100;57242726600;7201684589;8657683700;55344797900;","Biological Impacts of Marine Heatwaves",2023,"Annual Review of Marine Science","15",,,"119","145",,18,"10.1146/annurev-marine-032122-121437","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146365310&doi=10.1146%2fannurev-marine-032122-121437&partnerID=40&md5=b0a1ce033d252122eabfe9cd23e68590","Climatic extremes are becoming increasingly common against a background trend of global warming. In the oceans, marine heatwaves (MHWs)-discrete periods of anomalously warm water-have intensified and become more frequent over the past century, impacting the integrity of marine ecosystems globally. We review and synthesize current understanding of MHW impacts at the individual, population, and community levels. We then examine how these impacts affect broader ecosystem services and discuss the current state of research on biological impacts of MHWs. Finally, we explore current and emergent approaches to predicting the occurrence andimpacts of future events, along with adaptation and management approaches. With further increases in intensity and frequency projected for coming decades, MHWs are emerging as pervasive stressors to marine ecosystems globally. A deeper mechanistic understanding of their biological impacts is needed to better predict and adapt to increased MHW activity in the Anthropocene. © 2023 by the author(s).",Review,"Final","All Open Access, Green",Scopus,2-s2.0-85146365310
"Flores-Moreno H., Dalrymple R.L., Cornwell W.K., Popovic G., Nakagawa S., Atkinson J., Cooke J., Laffan S.W., Bonser S.P., Schwanz L.E., Crean A.J., Eldridge D.J., Garratt M., Brooks R.C., Vergés A., Poore A.G.B., Cohen D.R., Clark G.F., Sen Gupta A., Reich P.B., Cornelissen J.H.C., Craine J.M., Hemmings F.A., Kattge J., Niinemets Ü., Peñuelas J., Moles A.T.","54683923800;56481251600;15028126900;56585656200;58303056300;57209319155;22633798100;6603019813;6603024439;15760959000;24780688700;7006319477;56654241600;7402358605;16048486200;7004236515;57189513708;8973032800;57242726600;7101895179;7102502356;7003918041;6602980212;55907663100;56186457800;7006747772;7006587740;","Is Australia weird? A cross-continental comparison of biological, geological and climatological features",2023,"Frontiers in Ecology and Evolution","11",,"1073842","","",,,"10.3389/fevo.2023.1073842","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161054457&doi=10.3389%2ffevo.2023.1073842&partnerID=40&md5=d63a607a3026550d1beb076a1e3359cc","Australia’s distinctive biogeography means that it is sometimes considered an ecologically unique continent with biological and abiotic features that are not comparable to those observed in the rest of the world. This leaves some researchers unclear as to whether findings from Australia apply to systems elsewhere (or vice-versa), which has consequences for the development of ecological theory and the application of ecological management principles. We analyzed 594,612 observations spanning 85 variables describing global climate, soil, geochemistry, plants, animals, and ecosystem function to test if Australia is broadly different to the other continents and compare how different each continent is from the global mean. We found significant differences between Australian and global means for none of 15 climate variables, only seven of 25 geochemistry variables, three of 16 soil variables, five of 12 plant trait variables, four of 11 animal variables, and one of five ecosystem function variables. Seven of these differences remained significant when we adjusted for multiple hypothesis testing: high soil pH, high soil concentrations of sodium and strontium, a high proportion of nitrogen-fixing plants, low plant leaf nitrogen concentration, low annual production rate to birth in mammals, and low marine productivity. Our analyses reveal numerous similarities between Australia and Africa and highlight dissimilarities between continents in the northern vs. southern hemispheres. Australia ranked the most distinctive continent for 26 variables, more often than Europe (15 variables), Africa (13 variables), Asia (12 variables each), South America (11 variables) or North America (8 variables). Australia was distinctive in a range of soil conditions and plant traits, and a few bird and mammal traits, tending to sit at a more extreme end of variation for some variables related to resource availability. However, combined analyses revealed that, overall, Australia is not significantly more different to the global mean than Africa, South America, or Europe. In conclusion, while Australia does have some unique and distinctive features, this is also true for each of the other continents, and the data do not support the idea that Australia is an overall outlier in its biotic or abiotic characteristics. Copyright © 2023 Flores-Moreno, Dalrymple, Cornwell, Popovic, Nakagawa, Atkinson, Cooke, Laffan, Bonser, Schwanz, Crean, Eldridge, Garratt, Brooks, Vergés, Poore, Cohen, Clark, Sen Gupta, Reich, Cornelissen, Craine, Hemmings, Kattge, Niinemets, Peñuelas and Moles.",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85161054457
"Schoeman D.S., Sen Gupta A., Harrison C.S., Everett J.D., Brito-Morales I., Hannah L., Bopp L., Roehrdanz P.R., Richardson A.J.","6602899578;57242726600;55110256000;16202493800;57201793262;57203646144;6603699075;54400316700;7402534112;","Demystifying global climate models for use in the life sciences",2023,"Trends in Ecology and Evolution",,,,"","",,,"10.1016/j.tree.2023.04.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159276028&doi=10.1016%2fj.tree.2023.04.005&partnerID=40&md5=16731c4fc2bef500456db55150a0c829","For each assessment cycle of the Intergovernmental Panel on Climate Change (IPCC), researchers in the life sciences are called upon to provide evidence to policymakers planning for a changing future. This research increasingly relies on highly technical and complex outputs from climate models. The strengths and weaknesses of these data may not be fully appreciated beyond the climate modelling community; therefore, uninformed use of raw or preprocessed climate data could lead to overconfident or spurious conclusions. We provide an accessible introduction to climate model outputs that is intended to empower the life science community to robustly address questions about human and natural systems in a changing world. © 2023 Elsevier Ltd",Review,"Article in Press","",Scopus,2-s2.0-85159276028
"Sen Gupta A., Ryan S., Hernaman V.","57242726600;56996752800;56289530700;","Editorial: Advances in marine heatwave interactions",2023,"Frontiers in Climate","5",,"1177781","","",,,"10.3389/fclim.2023.1177781","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153407766&doi=10.3389%2ffclim.2023.1177781&partnerID=40&md5=a913c6428be23fa9ab0817ba8aaf127a",[No abstract available],Editorial,"Final","All Open Access, Gold",Scopus,2-s2.0-85153407766
"Stellema A., Sen Gupta A., Taschetto A.S., Feng M.","57212019691;57242726600;23104422600;7201365637;","Pacific Equatorial Undercurrent: Mean state, sources, and future changes across models",2022,"Frontiers in Climate","4",,"933091","","",,,"10.3389/fclim.2022.933091","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136498155&doi=10.3389%2ffclim.2022.933091&partnerID=40&md5=997287662b941f2daa9308f73fb4ab47","The Equatorial Undercurrent (EUC) stretches across the Pacific, transporting cool waters rich in oxygen and nutrients eastward to one of the most productive regions in the ocean. As an intricate part of the global climate system, EUC dynamics are essential to understanding future climate change but are poorly represented in global coupled climate models. This study examines EUC representation and future changes in the latest generations of the Coupled Model Intercomparison Project (CMIP6 and CMIP5) and an eddy-permitting ocean model. We also examine historical and projected changes in EUC source waters, including the Mindanao Current (MC), New Guinea Coastal Undercurrent (NGCU), and interior thermocline convergence. The circulation features in the models are broadly consistent with observations and ocean reanalyses, but improvements from CMIP5 to CMIP6 are limited. In the future projections, the EUC is enhanced in the western Pacific, with less prominent changes in CMIP6, but more so in the eddy-permitting model. The western Pacific EUC enhancement is likely associated with a wind-driven redirection of waters south of the equator, in which the NGCU boundary flow increases while the interior thermocline convergence decreases. This is superimposed on an overall weakening of the North Pacific subtropical overturning cell, including the MC, interior thermocline convergence, and Ekman divergence. As EUC heat and nutrient composition is linked to its sources, these projected changes have implications for the EUC's role in air–sea feedbacks, nutrient replenishment, and oxygen minimum zone ventilation in the eastern Pacific. Copyright © 2022 Stellema, Sen Gupta, Taschetto and Feng.",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85136498155
"Goyal R., Jucker M., Gupta A.S., England M.H.","57210788084;14058428800;8874929700;7101869647;","A New Zonal Wave-3 Index for the Southern Hemisphere",2022,"Journal of Climate","35","15",,"5137","5149",,2,"10.1175/JCLI-D-21-0927.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136995788&doi=10.1175%2fJCLI-D-21-0927.1&partnerID=40&md5=4e9143a70abe23f53dd0f961156fcbf4","Zonal wave 3 (ZW3) is an important feature of the Southern Hemisphere extratropical atmospheric circulation and has strong impacts on meridional heat and momentum transport, regional Antarctic sea ice extent, and Southern Hemisphere blocking events. Attempts have been made in the past to define an index that quantifies the variability in the ZW3 pattern; however, existing methods are based on fixed geographical locations and fail to capture certain ZW3 events because of strong variability in phase. In addition, a fixed spatial index poorly characterizes ZW3 in CMIP models, which can exhibit biases in the mean phase of the ZW3 pattern. In this study, we introduce a new way to characterize ZW3 variability by incorporating two indices, one each for magnitude and phase, based on the combination of the first two empirical orthogonal functions (EOFs) of the 500-hPa meridional wind anomalies. We show that the new ZW3 index provides a clear advantage over past indices because it captures a substantially higher proportion of variance (∼40% compared to ∼16%), and it can be used for both reanalysis datasets and coupled climate models regardless of model biases. A composite analysis associated with the new index reveals a strong relationship between the ZW3 defined by our index and sea ice fraction around Antarctica, with significant regional sea ice anomalies during strong ZW3 events with different phases. © 2022 American Meteorological Society.",Article,"Final","",Scopus,2-s2.0-85136995788
"Holgate C., Evans J.P., Taschetto A.S., Gupta A.S., Santoso A.","57191277154;7407663749;23104422600;8874929700;36841957400;","The Impact of Interacting Climate Modes on East Australian Precipitation Moisture Sources",2022,"Journal of Climate","35","10",,"3147","3159",,5,"10.1175/JCLI-D-21-0750.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130198702&doi=10.1175%2fJCLI-D-21-0750.1&partnerID=40&md5=ae02b4393bc220e16f1174d8dc244ad2","Modes of climate variability can drive significant changes to regional climate affecting extremes such as droughts, floods, and bushfires. The need to forecast these extremes and expected future increases in their intensity and frequency motivates a need to better understand the physical processes that connect climate modes to regional precipitation. Focusing on east Australia, where precipitation is driven by multiple interacting climate modes, this study provides a new perspective into the links between large-scale modes of climate variability and precipitation. Using a Lagrangian back-trajectory approach, we examine how El Niño–Southern Oscillation (ENSO) modifies the supply of evaporative moisture for precipitation, and how this is modulated by the Indian Ocean dipole (IOD) and southern annular mode (SAM). We demonstrate that La Niña modifies large-scale moisture transport together with local thermodynamic changes to facilitate local precipitation generation, whereas below-average precipitation during El Niño stems predominantly from increased regional subsidence. These dynamic–thermodynamic processes were often more pronounced during co-occurring La Niña/ negative IOD and El Niño/positive IOD periods. As the SAM is less strongly correlated with ENSO, the impact of co-occurring ENSO and SAM largely depended on the state of ENSO. La Niña–related processes were exacerbated when combined with 1SAM and dampened when combined with 2SAM, and vice versa during El Niño. This new perspective on how interacting climate modes physically influence regional precipitation can help elucidate how model biases affect the simulation of Australian climate, facilitating model improvement and understanding of regional impacts from long-term changes in these modes. SIGNIFICANCE STATEMENT: How climate modes modulate the oceanic and terrestrial sources of moisture for rainfall in east Australia is investigated. East Australia is wetter during La Niña because more moisture is transported into the region and is more easily turned into rainfall when it arrives, whereas drier conditions during El Niño are because local conditions inhibit the conversion of moisture into rainfall. Distant atmospheric changes over the Indian and Southern Oceans can intensify these changes. Our results can be used to better understand and predict the regional impact of long-term changes in these modes of climate variability, which are potentially altered under climate change. Ó 2022 American Meteorological Society.",Article,"Final","",Scopus,2-s2.0-85130198702
"Eabry M.D., Holmes R.M., Gupta A.S.","57704093600;45561288300;8874929700;","The Impact of Indonesian Throughflow Constrictions on Eastern Pacific Upwelling and Water-Mass Transformation",2022,"Journal of Geophysical Research: Oceans","127","5","e2022JC018509","","",,,"10.1029/2022JC018509","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130551123&doi=10.1029%2f2022JC018509&partnerID=40&md5=a495114141c0a5e0e23bf7f23a9ded03","The Indonesian Throughflow (ITF) is a key link in the global ocean overturning circulation. Heat gained from upwelling and watermass transformation in the eastern equatorial Pacific Ocean (PO) is transported through the ITF into the Indian Ocean, ultimately connecting to high-latitude regions of heat loss such as the North Atlantic. However, state-of-the-art General Circulation Models (GCMs) often poorly simulate upwelling, particularly in the eastern Pacific boundary regions. Recent studies have hypothesized that these difficulties may be related to biases in downstream ITF volume and heat transport, whereby insufficient warm surface water from the western PO passes through the ITF, a complex region that is hard to accurately represent in models. Here, we test this hypothesis using a coarse-resolution ocean model by artificially widening the ITF and allowing greater quantities of warm water to exit the western PO. This reduces the Indo-Pacific sea-surface height and pressure gradient biases. Using diagnostics in temperature coordinates, we trace the source of increased ITF warm-water transport to enhanced watermass transformation of cold-to-warm waters in the eastern tropical PO. Additional cool water is brought to the surface in the Cold Tongue region, resulting in an enhancement of surface flux-driven warming. However, we find only limited evidence for changes in upwelling at lower temperatures along the eastern PO margins, considerably less than hypothesized in a previous study. Our experiment provides useful insights to help understand simulated ITF mass and heat transport biases and their links with the tropical PO in GCMs. © 2022. American Geophysical Union. All Rights Reserved.",Article,"Final","",Scopus,2-s2.0-85130551123
